system:index,LST_Night_count,LST_Night_mean,LST_Night_p10,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p90,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2006_analysis_2022_BF_1,55,-0.22120848091302553,-1.0155555555555225,-0.46666666666664014,-1.788333333333327,-0.055999999999983174,0.24174603174597564,0.7900000000000205,0.8819999999999766,0.998150574569662,2022.0,BF,2006.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2022_BF_2,300,0.02556919312169375,-1.1931726190476013,-0.4026802721088489,-2.0905952380952235,0.0026351766513060637,0.49007023809523864,1.2855476190476338,1.7909999999999968,1.1403663241733115,2022.0,BF,2006.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2022_BF_3,82,-0.08616851881181384,-0.7616666666666845,-0.28899999999998727,-0.9158333333332962,0.0024999999999977263,0.10798809523809894,0.4600396825396634,0.5414285714285825,0.7066023035939163,2022.0,BF,2006.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2022_BF_4,26,0.08742612942612574,-1.7425000000000068,-0.648214285714289,-2.0400000000000205,0.11216666666668118,0.5,0.8114285714285643,1.2223333333333528,1.4484735073972606,2022.0,BF,2006.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2023_BF_0,466,-0.005980814428775057,-0.462629629629627,-0.21033143939393284,-0.6637727272727147,0.0011827739360209951,0.1809848484848473,0.5246666666666329,0.7411363636363717,0.45132980101962356,2023.0,BF,2006.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2023_BF_1,55,0.012695316804409499,-0.30393939393943015,-0.07166666666665833,-0.49545454545460643,0.011666666666684478,0.15999999999996817,0.31515151515151274,0.6164444444444825,0.33058217961280484,2023.0,BF,2006.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2023_BF_2,302,-0.023875359555823133,-0.5540909090908978,-0.24784090909091105,-0.8368181818182165,7.524396507450146E-4,0.1974999999999909,0.5424090909091129,0.7708333333333144,0.5042003834029415,2023.0,BF,2006.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2023_BF_3,82,-0.01081895171224389,-0.3187272727272443,-0.19121212121208941,-0.46800000000001774,0.0,0.12300505050505232,0.3133333333333326,0.47833333333335304,0.27986038922185497,2023.0,BF,2006.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2023_BF_4,26,0.15594749694750476,-0.39722222222226833,-0.23818181818182893,-0.42214285714285893,0.053545454545471216,0.48825757575758644,0.9345454545454572,1.0152777777777828,0.42954334284408646,2023.0,BF,2006.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2007_analysis_2008_BF_0,509,-0.04290771594700954,-1.2092333333333443,-0.4692781746031841,-1.7704166666666907,0.006566602316603301,0.3475962962963005,1.1472103174603252,1.593500000000013,1.106827590699827,2008.0,BF,2007.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
